89.185.80.238:443#US美国 [2.17ms]
144.24.30.149:443#US美国 [2.42ms]
137.131.24.133:8443#US美国 [2.53ms]
129.146.137.214:443#US美国 [2.55ms]
141.148.187.195:443#US美国 [2.63ms]
137.131.8.2:443#US美国 [2.81ms]
141.148.182.172:8443#US美国 [2.88ms]
141.148.158.226:2053#US美国 [2.97ms]
152.70.143.65:2053#US美国 [3.06ms]
129.146.121.203:8443#US美国 [3.41ms]
161.153.21.107:443#US美国 [3.69ms]
185.168.208.129:443#US美国 [4.47ms]
158.101.7.107:443#US美国 [6.59ms]
149.248.199.173:443#DE德国 [8.44ms]
157.254.18.180:443#GB英国 [10.36ms]
213.188.223.161:443#NL荷兰 [13.72ms]
198.199.106.194:443#CA加拿大 [18.34ms]
159.54.134.203:443#MX墨西哥 [35.65ms]
216.238.80.148:8443#MX墨西哥 [41.51ms]
216.238.82.140:8443#MX墨西哥 [42.00ms]
216.238.86.91:443#MX墨西哥 [42.17ms]
216.238.88.154:8443#MX墨西哥 [42.99ms]
216.238.79.83:8443#MX墨西哥 [44.56ms]
65.49.232.101:443#CA加拿大 [45.89ms]
23.173.104.197:2053#CA加拿大 [47.83ms]
44.32.224.197:443#CA加拿大 [47.87ms]
150.242.90.205:443#CA加拿大 [47.88ms]
23.173.104.201:2053#CA加拿大 [47.95ms]
23.173.104.225:2053#CA加拿大 [48.20ms]
44.32.224.206:443#CA加拿大 [48.22ms]
23.173.104.210:2053#CA加拿大 [48.31ms]
23.173.104.222:2053#CA加拿大 [48.40ms]
23.173.104.215:2053#CA加拿大 [48.41ms]
44.32.224.195:2053#CA加拿大 [48.45ms]
44.32.224.198:2053#CA加拿大 [48.46ms]
131.196.254.151:443#MX墨西哥 [62.21ms]
131.196.255.75:443#MX墨西哥 [62.45ms]
131.196.253.141:443#MX墨西哥 [62.79ms]
67.207.80.155:443#GB英国 [63.01ms]
130.94.116.44:443#ECEC [96.60ms]
23.27.52.65:8443#JP日本 [106.73ms]
156.231.112.112:8443#JP日本 [106.99ms]
156.231.115.129:443#JP日本 [107.23ms]
156.231.112.27:443#JP日本 [107.50ms]
156.231.115.96:443#JP日本 [107.51ms]
87.83.100.32:443#JP日本 [107.72ms]
103.53.80.24:443#JP日本 [107.76ms]
103.47.186.4:443#JP日本 [107.80ms]
202.182.118.182:443#JP日本 [107.83ms]
149.28.26.9:443#JP日本 [107.95ms]
149.28.21.204:443#JP日本 [107.99ms]
139.180.202.209:443#JP日本 [108.11ms]
66.42.37.41:443#JP日本 [108.12ms]
45.8.173.182:443#HK中国香港 [108.71ms]
54.216.6.137:443#IE爱尔兰 [115.54ms]
83.147.242.56:8443#ES西班牙 [117.67ms]
208.85.21.8:443#ES西班牙 [117.81ms]
185.223.82.57:443#ES西班牙 [117.94ms]
185.174.136.206:443#ES西班牙 [117.97ms]
91.149.243.34:443#ES西班牙 [118.00ms]
65.20.103.129:8443#ES西班牙 [118.22ms]
193.17.183.157:2053#ES西班牙 [118.29ms]
185.232.205.100:2053#ES西班牙 [118.38ms]
193.17.183.6:8443#ES西班牙 [118.59ms]
185.114.72.31:8443#ES西班牙 [119.01ms]
45.150.195.167:443#ES西班牙 [119.75ms]
185.114.72.31:2053#ES西班牙 [120.48ms]
185.121.12.28:8443#ES西班牙 [120.58ms]
52.19.138.237:2053#IE爱尔兰 [121.74ms]
63.32.194.15:2053#IE爱尔兰 [121.75ms]
63.32.194.15:8443#IE爱尔兰 [121.82ms]
54.194.24.172:443#IE爱尔兰 [122.17ms]
54.229.164.147:2053#IE爱尔兰 [122.18ms]
217.60.252.191:8443#FR法国 [124.00ms]
217.60.252.191:2053#FR法国 [124.08ms]
31.56.228.7:8443#FR法国 [124.26ms]
31.59.120.124:8443#FR法国 [124.26ms]
95.182.116.150:443#FR法国 [124.27ms]
185.120.59.207:8443#FR法国 [124.27ms]
107.191.47.95:443#FR法国 [124.28ms]
45.77.62.142:8443#FR法国 [124.30ms]
217.60.39.139:8443#FR法国 [124.30ms]
185.242.87.198:8443#FR法国 [124.39ms]
94.183.188.139:8443#FR法国 [124.42ms]
144.126.239.205:2083#GB英国 [124.47ms]
31.59.103.152:8443#FR法国 [124.49ms]
217.60.39.240:2053#FR法国 [124.53ms]
194.60.86.215:443#GB英国 [124.70ms]
134.209.28.89:2096#GB英国 [124.77ms]
138.68.179.125:2096#GB英国 [124.81ms]
178.128.168.108:2083#GB英国 [125.00ms]
167.172.60.77:8443#GB英国 [125.33ms]
138.68.139.232:443#GB英国 [125.90ms]
52.19.138.237:8443#IE爱尔兰 [126.46ms]
46.101.81.224:443#GB英国 [126.91ms]
35.246.68.83:443#GB英国 [127.25ms]
194.164.216.227:443#GB英国 [127.70ms]
54.229.164.147:8443#IE爱尔兰 [127.72ms]
188.166.169.50:2096#GB英国 [127.75ms]
64.110.75.145:443#KR韩国 [128.70ms]
132.145.91.181:8443#KR韩国 [128.95ms]
5.157.30.3:8443#IE爱尔兰 [129.16ms]
146.185.179.246:443#NL荷兰 [129.32ms]
